"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Speak Ukrainian","0","Club page","3","0","Advanced Search for Centres","0"
"0","","4","","65","0","","0"
"0","Speak Ukrainian","0","News page","3","0","User Journey: Browsing and Reading News","0"
"0","Speak Ukrainian","0","Club page","15","0","","0"
"0","","3","Club page, Home page","0","0","","0"
"0","Speak Ukrainian","0","News page","3","0","Pagination","0"
"0","Speak Ukrainian","0","Services page","18","0","FAQ accordion","0"
"0","Speak Ukrainian","0","News page","3","0","","0"
"0","Speak Ukrainian","0","Club details page","3","0","As an unauthorized user, I want to see an authentication modal when clicking ""Написати менеджеру"".","0"
"0","Speak Ukrainian","0","Club page","3","0","As a logged-in user, I want to navigate to a club page and post a comment.","0"
"0","API Infrastructure","1","Clubs","3","0","","0"
"0","API Infrastructure","0","Clubs","1","0","Get List of All Clubs","0"
"0","","0","Challenge Page","6","0","","0"
"0","Speak Ukrainian","0","Authentication","3","0","As a registered user, I want to sign in with my credentials so I can access my account and platform features.","0"
"0","Speak Ukrainian","3","Challenge page","0","0","As a user, I want to navigate through the Tasks Carousel using arrows and pagination dots.","0"
"0","Speak Ukrainian","0","News page","3","0","Sidebar City Synchronization","0"
"0","","0","Club page","3","0","","0"
"0","Speak Ukrainian","0","News page","3","0","As a user, I want to click the ""Help the Project"" button and be redirected to the donation page.","0"
